"POSTCODE","Employee_earners","Employee_median_age","Total_income_m","Median_income","Mean_income","Main_income_pct"
800,90431,36.6,6389.5,62178.8,70653,87.46
810,90431,36.6,6389.5,62178.8,70653,87.46
812,90431,36.6,6389.5,62178.8,70653,87.46
820,90431,36.6,6389.5,62178.8,70653,87.46
822,23613.48672635,18.72799825,1412.351287875,25249.53507805,28911.57662935,45.296473595
828,90431,36.6,6389.5,62178.8,70653,87.46
829,90431,36.6,6389.5,62178.8,70653,87.46
830,90430.8643535,36.5999451,6389.49041575,62178.7067318,70652.8940205,87.45986881
832,90431,36.6,6389.5,62178.8,70653,87.46
835,90431,36.6,6389.5,62178.8,70653,87.46
836,90431,36.6,6389.5,62178.8,70653,87.46
837,90431,36.6,6389.5,62178.8,70653,87.46
838,90431,36.6,6389.5,62178.8,70653,87.46
840,39921.84210588,37.56522376,2222.9420975,48489.31071842,55613.31562648,91.035723112
841,90431,36.6,6389.5,62178.8,70653,87.46
845,39958.8,37.6,2225,48534.2,55664.8,91.12
846,39958.8,37.6,2225,48534.2,55664.8,91.12
847,39958.8,37.6,2225,48534.2,55664.8,91.12
850,39958.8,37.6,2225,48534.2,55664.8,91.12
852,39932.19543096,37.57496592,2223.518595,48501.88592964,55627.73837616,91.059332304
853,39958.8,37.6,2225,48534.2,55664.8,91.12
854,39958.8,37.6,2225,48534.2,55664.8,91.12
860,39958.8,37.6,2225,48534.2,55664.8,91.12
862,39958.8,37.6,2225,48534.2,55664.8,91.12
870,39958.8,37.6,2225,48534.2,55664.8,91.12
872,18201.2066257,17.40642228,1014.956093408,22232.4011913,25567.89445198,40.94646209
880,39958.8,37.6,2225,48534.2,55664.8,91.12
885,39958.8,37.6,2225,48534.2,55664.8,91.12
886,39958.8,37.6,2225,48534.2,55664.8,91.12
909,90431,36.6,6389.5,62178.8,70653,87.46
2000,233593.4,32.2,16354.02,52892.6,69974,83.68
2006,233593.4,32.2,16354.02,52892.6,69974,83.68
2007,233593.4,32.2,16354.02,52892.6,69974,83.68
2008,233593.4,32.2,16354.02,52892.6,69974,83.68
2009,233593.4,32.2,16354.02,52892.6,69974,83.68
2010,233593.4,32.2,16354.02,52892.6,69974,83.68
2011,233593.4,32.2,16354.02,52892.6,69974,83.68
2015,233593.4,32.2,16354.02,52892.6,69974,83.68
2016,233593.4,32.2,16354.02,52892.6,69974,83.68
2017,233593.4,32.2,16354.02,52892.6,69974,83.68
2018,233593.4,32.2,16354.02,52892.6,69974,83.68
2019,233593.4,32.2,16354.02,52892.6,69974,83.68
2020,233593.4,32.2,16354.02,52892.6,69974,83.68
2021,164231.4,35.2,14882.1,60750.6,90589.6,72.62
2022,164231.4,35.2,14882.1,60750.6,90589.6,72.62
2023,164231.4,35.2,14882.1,60750.6,90589.6,72.62
2024,164231.4,35.2,14882.1,60750.6,90589.6,72.62
2025,164231.4,35.2,14882.1,60750.6,90589.6,72.62
2026,164231.4,35.2,14882.1,60750.6,90589.6,72.62
2027,164231.4,35.2,14882.1,60750.6,90589.6,72.62
2028,164231.4,35.2,14882.1,60750.6,90589.6,72.62
2029,164231.4,35.2,14882.1,60750.6,90589.6,72.62
2030,164231.4,35.2,14882.1,60750.6,90589.6,72.62
2031,164231.4,35.2,14882.1,60750.6,90589.6,72.62
2032,84738.658711,17.4865535,7496.71139076,30078.145801,44515.2107782,36.72823943
2033,82168.2382469,17.59772765,7442.164905804,30369.3479579,45279.18471378,36.318377397
2034,164231.4,35.2,14882.1,60750.6,90589.6,72.62
2035,85911.3030873,17.43583505,7521.595891068,29945.2972743,44166.68035226,36.915221449
2036,89556.2449744,17.2781864,7598.944624704,29532.3629104,43083.33984928,37.496419472
2037,233593.4,32.2,16354.02,52892.6,69974,83.68
2038,89625.38483012,18.17848298,6791.423962766,28893.86217202,37861.2450352,39.197357354
2039,178688.2,36.4,13554.16,57838.4,75782,78.34
2040,178676.19215296,36.39755392,13553.249160448,57834.51325952,75776.9074496,78.334735552
2041,178688.2,36.4,13554.16,57838.4,75782,78.34
2042,233593.4,32.2,16354.02,52892.6,69974,83.68
2043,233593.4,32.2,16354.02,52892.6,69974,83.68
2044,233593.4,32.2,16354.02,52892.6,69974,83.68
2045,178688.2,36.4,13554.16,57838.4,75782,78.34
2046,178688.2,36.4,13554.16,57838.4,75782,78.34
2047,178688.2,36.4,13554.16,57838.4,75782,78.34
2048,116782.34778072,16.10109788,8176.278116596,26447.59283212,34988.5182112,41.838604124
2049,109301.16014218,16.67337497,7794.779132499,27121.48998253,35779.8956728,41.110994681
2050,233593.4,32.2,16354.02,52892.6,69974,83.68
2052,164231.4,35.2,14882.1,60750.6,90589.6,72.62
2060,236113.2,39.6,23376.66,66992.6,98949.2,70.76
2061,236113.2,39.6,23376.66,66992.6,98949.2,70.76
2062,236113.2,39.6,23376.66,66992.6,98949.2,70.76
2063,236113.2,39.6,23376.66,66992.6,98949.2,70.76
2064,236113.2,39.6,23376.66,66992.6,98949.2,70.76
2065,236113.2,39.6,23376.66,66992.6,98949.2,70.76
2066,236113.2,39.6,23376.66,66992.6,98949.2,70.76
2067,236113.2,39.6,23376.66,66992.6,98949.2,70.76
2068,236113.2,39.6,23376.66,66992.6,98949.2,70.76
2069,236113.2,39.6,23376.66,66992.6,98949.2,70.76
2070,236113.2,39.6,23376.66,66992.6,98949.2,70.76
2071,236113.2,39.6,23376.66,66992.6,98949.2,70.76
2072,236113.2,39.6,23376.66,66992.6,98949.2,70.76
2073,236113.2,39.6,23376.66,66992.6,98949.2,70.76
2074,236113.2,39.6,23376.66,66992.6,98949.2,70.76
2075,236113.2,39.6,23376.66,66992.6,98949.2,70.76
2076,236113.2,39.6,23376.66,66992.6,98949.2,70.76
2077,236113.2,39.6,23376.66,66992.6,98949.2,70.76
2079,236113.2,39.6,23376.66,66992.6,98949.2,70.76
2080,236113.2,39.6,23376.66,66992.6,98949.2,70.76
2081,236113.2,39.6,23376.66,66992.6,98949.2,70.76
2082,116372.88777938,19.82292913,11469.548758074,33378.81113788,49082.78047538,35.462872427
2083,106387.20400992,20.02732927,9427.140959847,30573.13786829,42742.11376651,36.477675618
2084,151078.2,40.4,12695.38,57832,83976.6,71.68
2085,151078.2,40.4,12695.38,57832,83976.6,71.68
2086,151078.2,40.4,12695.38,57832,83976.6,71.68
2087,151078.2,40.4,12695.38,57832,83976.6,71.68
2088,236113.2,39.6,23376.66,66992.6,98949.2,70.76
2089,236113.2,39.6,23376.66,66992.6,98949.2,70.76
2090,236113.2,39.6,23376.66,66992.6,98949.2,70.76
2092,151078.2,40.4,12695.38,57832,83976.6,71.68
2093,151078.2,40.4,12695.38,57832,83976.6,71.68
2094,151078.2,40.4,12695.38,57832,83976.6,71.68
2095,151078.2,40.4,12695.38,57832,83976.6,71.68
2096,151078.2,40.4,12695.38,57832,83976.6,71.68
2097,151078.2,40.4,12695.38,57832,83976.6,71.68
2099,151078.2,40.4,12695.38,57832,83976.6,71.68
2100,151078.2,40.4,12695.38,57832,83976.6,71.68
2101,151078.2,40.4,12695.38,57832,83976.6,71.68
2102,151078.2,40.4,12695.38,57832,83976.6,71.68
2103,151078.2,40.4,12695.38,57832,83976.6,71.68
2104,151078.2,40.4,12695.38,57832,83976.6,71.68
2105,151078.2,40.4,12695.38,57832,83976.6,71.68
2106,151078.2,40.4,12695.38,57832,83976.6,71.68
2107,151078.2,40.4,12695.38,57832,83976.6,71.68
2108,151078.2,40.4,12695.38,57832,83976.6,71.68
2109,105511.8,37.8,7903.94,58395.2,74770.2,75.26
2110,105511.8,37.8,7903.94,58395.2,74770.2,75.26
2111,105511.8,37.8,7903.94,58395.2,74770.2,75.26
2112,105511.8,37.8,7903.94,58395.2,74770.2,75.26
2113,105511.8,37.8,7903.94,58395.2,74770.2,75.26
2114,52807.1399673,18.8989283,3954.21913086,29194.21947545,37378.47038725,37.63209747
2115,239385,35,13780.18,49563,57449.2,80.74
2116,239385,35,13780.18,49563,57449.2,80.74
2117,239385,35,13780.18,49563,57449.2,80.74
2118,239385,35,13780.18,49563,57449.2,80.74
2119,67877.65440456,18.58372376,4615.725390192,28199.95178324,35428.5925882,38.248997784
2120,62240.24177086,12.97407602,5841.249307528,21246.8995459267,29933.2392685667,24.1544897366667
2121,55397.33202822,18.84475362,4067.913210004,29023.33318663,37043.34194715,37.738125058
2122,52889.29125648,18.89721008,3957.825085536,29188.79959592,37367.8413556,37.635460272
2123,239385,35,13780.18,49563,57449.2,80.74
2125,63418.50784972,20.12744768,4763.021397656,29743.73750212,37483.06566796,37.844803344
2126,133309.6,41,10018.38,59819,75025.6,75.82
2127,239385,35,13780.18,49563,57449.2,80.74
2128,239385,35,13780.18,49563,57449.2,80.74
2129,178688.2,36.4,13554.16,57838.4,75782,78.34
2130,178688.2,36.4,13554.16,57838.4,75782,78.34
2131,178688.2,36.4,13554.16,57838.4,75782,78.34
2132,178688.2,36.4,13554.16,57838.4,75782,78.34
2133,178688.2,36.4,13554.16,57838.4,75782,78.34
2134,178688.2,36.4,13554.16,57838.4,75782,78.34
2135,178688.2,36.4,13554.16,57838.4,75782,78.34
2136,89782.7707776,18.19927168,6790.027635968,28884.51958656,37823.05357056,39.172257792
2137,178688.2,36.4,13554.16,57838.4,75782,78.34
2138,178688.2,36.4,13554.16,57838.4,75782,78.34
2139,178688.2,36.4,13554.16,57838.4,75782,78.34
2140,178688.2,36.4,13554.16,57838.4,75782,78.34
2141,239385,35,13780.18,49563,57449.2,80.74
2142,239385,35,13780.18,49563,57449.2,80.74
2143,130591.55371992,17.71884112,7497.275629496,24553.9052352,28665.22110944,40.045385672
