"POSTCODE","Employee_earners","Employee_median_age","Total_income_m","Median_income","Mean_income","Main_income_pct"
800,6809.4,31,476.52,50449.8,69788.2,91.48
810,155.608376173333,3.10155653166667,10.7795732901667,5011.16625620167,5675.29300982833,7.0846819335
812,494.668095172,7.932191064,33.0738433004,12384.732102512,13459.422493696,17.2727057204
820,241.730125099,3.6736430405,19.723116042,6200.430645796,7383.208036116,8.5502664322
822,72.289866696,2.58150918133333,4.19705723685714,2183.53933097867,2890.16121198667,6.2284436864
828,713.8,39.8,44.4,55524.8,62098.4,79.3
829,1287.50579414,19.42162212,92.644833791,33259.14310245,35946.46093341,42.460066359
830,308.664987378571,5.31071334928571,21.4456145158571,8970.93358601357,9710.08605739928,13.0383208002857
832,526.866202293333,5.93427499333333,39.6708624583333,11361.22053741,12377.5541677367,15.3977878856667
835,1183.90603292,19.92404812,83.471359729,32340.82755494,35188.95184969,41.86889947
836,5303,41,386.58,65181.8,72867.8,84.98
837,2417.4,40.6,160.78,58901.2,66475.4,82.14
838,2417.4,40.6,160.78,58901.2,66475.4,82.14
840,2209.35467614,42.56059926,127.621853274,49740.75218868,57723.36223768,84.082160416
841,2417.4,40.6,160.78,58901.2,66475.4,82.14
845,2211.4,42.6,127.74,49786.8,57776.8,84.16
846,2211.4,42.6,127.74,49786.8,57776.8,84.16
847,408.6,39.4,16.08,31668.6,39397.8,84.84
850,6583.6,36,368.64,52241.4,56113.6,89.94
852,170.852152594286,5.18388477142857,8.23520987914286,4146.28652226857,5595.39996217143,13.3237962874286
853,6583.6,36,368.64,52241.4,56113.6,89.94
854,825.4,39.4,28.74,22448,34717.2,93.56
860,1781.4,38.2,99.62,51572.8,55924.8,93
862,207.19857911,17.32637186,7.541254428,12598.05681289,18193.11287799,47.473829764
870,581.935174193333,6.34450805666667,34.1298770746667,9158.81789916,10237.2239743167,15.062390083
872,69.1482589066667,5.45145443333333,2.70838619866667,3708.51015663333,5694.33521913667,14.779023685
880,957.28597055,19.4694735,63.503333805,24419.41077315,29530.85329565,47.323853035
885,724.8,38.2,56.46,61502.4,78864.8,95.44
