Label,Year,Indigenous protected land area (ha),National parks (ha),Nature reserves (ha),All other protected land areas (ha),Total protected land area (ha),Indigenous protected land area (%),National parks (%),Nature reserves (%),All other protected land areas (%),Total protected land area (%)
Albury,2016,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Albury,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Albury,2018,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Albury,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Albury,2020,0,0,0,107,107,0.0,0.0,0.0,0.3,0.3
Albury,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Albury,2022,0,0,0,107,107,0.0,0.0,0.0,0.3,0.3
Albury,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Armidale Regional,2016,"1,559","32,740","6,385","106,389","147,073",0.2,4.2,0.8,13.6,18.8
Armidale Regional,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Armidale Regional,2018,"1,559","32,737","6,385","106,374","147,056",0.2,4.2,0.8,13.6,18.8
Armidale Regional,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Armidale Regional,2020,"1,559","35,323","6,385","109,666","152,934",0.2,4.5,0.8,14.0,19.6
Armidale Regional,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Armidale Regional,2022,"1,559","36,978","6,387","110,675","155,598",0.2,4.7,0.8,14.2,19.9
Armidale Regional,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ballina,2016,861,0,"1,311",0,"2,172",1.8,0.0,2.7,0.0,4.5
Ballina,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ballina,2018,861,0,"1,313",0,"2,174",1.8,0.0,2.7,0.0,4.5
Ballina,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ballina,2020,861,0,"1,313",430,"2,605",1.8,0.0,2.7,0.9,5.4
Ballina,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ballina,2022,861,0,"1,313",452,"2,626",1.8,0.0,2.7,0.9,5.4
Ballina,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Balranald,2016,0,"63,570",0,"31,513","95,083",0.0,2.9,0.0,1.5,4.4
Balranald,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Balranald,2018,0,"63,572",0,"31,520","95,092",0.0,2.9,0.0,1.5,4.4
Balranald,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Balranald,2020,0,"63,571",0,"31,587","95,159",0.0,2.9,0.0,1.5,4.4
Balranald,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Balranald,2022,0,"67,725",0,"31,643","99,368",0.0,3.1,0.0,1.5,4.6
Balranald,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bathurst Regional,2016,0,0,"15,037","1,486","16,524",0.0,0.0,3.9,0.4,4.3
Bathurst Regional,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bathurst Regional,2018,0,0,"15,036","1,486","16,522",0.0,0.0,3.9,0.4,4.3
Bathurst Regional,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bathurst Regional,2020,0,0,"15,036","3,222","18,258",0.0,0.0,3.9,0.8,4.8
Bathurst Regional,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bathurst Regional,2022,0,0,"15,681","2,377","18,057",0.0,0.0,4.1,0.6,4.7
Bathurst Regional,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bayside (NSW),2016,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bayside (NSW),2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bayside (NSW),2018,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bayside (NSW),2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bayside (NSW),2020,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bayside (NSW),2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bayside (NSW),2022,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bayside (NSW),2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bega Valley,2016,0,"145,395","30,468","95,185","271,048",0.0,23.2,4.9,15.2,43.2
Bega Valley,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bega Valley,2018,0,"145,408","30,468","95,185","271,061",0.0,23.2,4.9,15.2,43.2
Bega Valley,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bega Valley,2020,0,"145,388","30,502","98,045","273,935",0.0,23.2,4.9,15.6,43.6
Bega Valley,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bega Valley,2022,0,"145,375","30,501","97,976","273,851",0.0,23.2,4.9,15.6,43.6
Bega Valley,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bellingen,2016,85,"21,938","5,101","24,896","52,021",0.1,13.7,3.2,15.6,32.5
Bellingen,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bellingen,2018,85,"21,934","5,102","24,895","52,018",0.1,13.7,3.2,15.6,32.5
Bellingen,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bellingen,2020,85,"21,934","5,095","25,764","52,878",0.1,13.7,3.2,16.1,33.0
Bellingen,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bellingen,2022,85,"21,968","5,095","26,055","53,204",0.1,13.7,3.2,16.3,33.2
Bellingen,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Berrigan,2016,0,"2,076",291,"1,117","3,484",0.0,1.0,0.1,0.5,1.7
Berrigan,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Berrigan,2018,0,"2,073",291,"1,117","3,481",0.0,1.0,0.1,0.5,1.7
Berrigan,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Berrigan,2020,0,"2,073",291,"1,117","3,481",0.0,1.0,0.1,0.5,1.7
Berrigan,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Berrigan,2022,0,"2,074",291,"1,118","3,482",0.0,1.0,0.1,0.5,1.7
Berrigan,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Blacktown,2016,0,0,326,347,672,0.0,0.0,1.4,1.5,2.8
Blacktown,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Blacktown,2018,0,0,326,347,672,0.0,0.0,1.4,1.5,2.8
Blacktown,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Blacktown,2020,0,0,326,366,692,0.0,0.0,1.4,1.5,2.9
Blacktown,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Blacktown,2022,0,0,326,366,691,0.0,0.0,1.4,1.5,2.9
Blacktown,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bland,2016,0,"1,172","2,597",0,"3,769",0.0,0.1,0.3,0.0,0.4
Bland,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bland,2018,0,"1,172","2,811",0,"3,982",0.0,0.1,0.3,0.0,0.5
Bland,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bland,2020,0,"1,172","2,811",164,"4,146",0.0,0.1,0.3,0.0,0.5
Bland,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bland,2022,0,"1,172","2,811",474,"4,456",0.0,0.1,0.3,0.1,0.5
Bland,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Blayney,2016,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Blayney,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Blayney,2018,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Blayney,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Blayney,2020,0,0,0,238,238,0.0,0.0,0.0,0.2,0.2
Blayney,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Blayney,2022,0,0,0,238,238,0.0,0.0,0.0,0.2,0.2
Blayney,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Blue Mountains,2016,0,"106,015",0,325,"106,341",0.0,74.1,0.0,0.2,74.3
Blue Mountains,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Blue Mountains,2018,0,"106,015",0,446,"106,461",0.0,74.1,0.0,0.3,74.4
Blue Mountains,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Blue Mountains,2020,0,"106,033",0,"1,022","107,055",0.0,74.1,0.0,0.7,74.8
Blue Mountains,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Blue Mountains,2022,0,"106,106",0,"1,022","107,128",0.0,74.1,0.0,0.7,74.9
Blue Mountains,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bogan,2016,0,0,"4,778",0,"4,778",0.0,0.0,0.3,0.0,0.3
Bogan,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bogan,2018,0,0,"4,778",0,"4,778",0.0,0.0,0.3,0.0,0.3
Bogan,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bogan,2020,0,0,"4,778","1,063","5,842",0.0,0.0,0.3,0.1,0.4
Bogan,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bogan,2022,0,0,"4,778","1,063","5,842",0.0,0.0,0.3,0.1,0.4
Bogan,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bourke,2016,0,"173,767","88,602","31,975","294,344",0.0,4.2,2.1,0.8,7.1
Bourke,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bourke,2018,0,"173,779","88,578","31,975","294,332",0.0,4.2,2.1,0.8,7.1
Bourke,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bourke,2020,0,"173,779","88,572","32,341","294,692",0.0,4.2,2.1,0.8,7.1
Bourke,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bourke,2022,0,"180,926","88,572","32,341","301,839",0.0,4.3,2.1,0.8,7.3
Bourke,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Brewarrina,2016,"4,334","37,897","6,245",0,"48,477",0.2,2.0,0.3,0.0,2.5
Brewarrina,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Brewarrina,2018,"4,334","37,859","6,228",0,"48,421",0.2,2.0,0.3,0.0,2.5
Brewarrina,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Brewarrina,2020,"4,334","37,859","6,208",442,"48,843",0.2,2.0,0.3,0.0,2.5
Brewarrina,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Brewarrina,2022,"4,334","41,236","6,161","12,777","64,508",0.2,2.2,0.3,0.7,3.4
Brewarrina,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Broken Hill,2016,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Broken Hill,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Broken Hill,2018,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Broken Hill,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Broken Hill,2020,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Broken Hill,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Broken Hill,2022,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Broken Hill,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Burwood,2016,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Burwood,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Burwood,2018,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Burwood,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Burwood,2020,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Burwood,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Burwood,2022,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Burwood,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Byron,2016,0,"3,868","2,369",187,"6,424",0.0,6.8,4.2,0.3,11.4
Byron,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Byron,2018,0,"3,952","2,365",187,"6,503",0.0,7.0,4.2,0.3,11.5
Byron,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Byron,2020,0,"3,952","2,365",628,"6,945",0.0,7.0,4.2,1.1,12.3
Byron,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Byron,2022,0,"3,951","2,408",834,"7,194",0.0,7.0,4.3,1.5,12.7
Byron,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Cabonne,2016,0,"34,051","4,542",310,"38,903",0.0,5.7,0.8,0.1,6.5
Cabonne,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Cabonne,2018,0,"34,051","4,542",310,"38,903",0.0,5.7,0.8,0.1,6.5
Cabonne,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Cabonne,2020,0,"34,066","4,542","5,235","43,843",0.0,5.7,0.8,0.9,7.3
Cabonne,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Cabonne,2022,0,"34,066","4,542","5,220","43,828",0.0,5.7,0.8,0.9,7.3
Cabonne,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Camden,2016,0,0,0,43,43,0.0,0.0,0.0,0.2,0.2
Camden,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Camden,2018,0,0,0,43,43,0.0,0.0,0.0,0.2,0.2
Camden,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Camden,2020,0,0,0,186,186,0.0,0.0,0.0,0.9,0.9
Camden,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Camden,2022,0,0,0,186,186,0.0,0.0,0.0,0.9,0.9
Camden,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Campbelltown (NSW),2016,0,"1,188",0,0,"1,188",0.0,3.8,0.0,0.0,3.8
Campbelltown (NSW),2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Campbelltown (NSW),2018,0,"1,188",0,0,"1,188",0.0,3.8,0.0,0.0,3.8
Campbelltown (NSW),2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Campbelltown (NSW),2020,0,"1,188",0,120,"1,308",0.0,3.8,0.0,0.4,4.2
Campbelltown (NSW),2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Campbelltown (NSW),2022,0,"1,188",0,120,"1,308",0.0,3.8,0.0,0.4,4.2
Campbelltown (NSW),2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Canada Bay,2016,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Canada Bay,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Canada Bay,2018,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Canada Bay,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Canada Bay,2020,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Canada Bay,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Canada Bay,2022,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Canada Bay,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Canterbury-Bankstown,2016,0,0,0,237,237,0.0,0.0,0.0,2.1,2.1
Canterbury-Bankstown,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Canterbury-Bankstown,2018,0,0,0,237,237,0.0,0.0,0.0,2.1,2.1
Canterbury-Bankstown,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Canterbury-Bankstown,2020,0,0,0,254,254,0.0,0.0,0.0,2.3,2.3
Canterbury-Bankstown,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Canterbury-Bankstown,2022,0,0,0,255,255,0.0,0.0,0.0,2.3,2.3
Canterbury-Bankstown,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Carrathool,2016,0,"54,386","33,389","23,858","111,633",0.0,2.9,1.8,1.3,5.9
Carrathool,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Carrathool,2018,0,"54,299","33,355","23,839","111,493",0.0,2.9,1.8,1.3,5.9
Carrathool,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Carrathool,2020,"21,973","54,588","33,355","2,422","112,338",1.2,2.9,1.8,0.1,5.9
Carrathool,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Carrathool,2022,"21,973","56,346","33,485","2,292","114,095",1.2,3.0,1.8,0.1,6.0
Carrathool,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Central Coast (NSW),2016,0,"45,789",813,141,"46,742",0.0,27.2,0.5,0.1,27.8
Central Coast (NSW),2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Central Coast (NSW),2018,0,"45,790",813,141,"46,744",0.0,27.2,0.5,0.1,27.8
Central Coast (NSW),2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Central Coast (NSW),2020,0,"45,792",812,790,"47,395",0.0,27.2,0.5,0.5,28.2
Central Coast (NSW),2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Central Coast (NSW),2022,0,"45,794",812,"2,640","49,246",0.0,27.2,0.5,1.6,29.3
Central Coast (NSW),2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Central Darling,2016,0,"239,390","14,191",0,"253,582",0.0,4.5,0.3,0.0,4.7
Central Darling,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Central Darling,2018,0,"239,413","13,959",0,"253,372",0.0,4.5,0.3,0.0,4.7
Central Darling,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Central Darling,2020,0,"239,370","13,960",0,"253,331",0.0,4.5,0.3,0.0,4.7
Central Darling,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Central Darling,2022,0,"249,113","13,960",0,"263,073",0.0,4.7,0.3,0.0,4.9
Central Darling,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Cessnock,2016,0,"12,591",0,"42,081","54,672",0.0,6.4,0.0,21.4,27.8
Cessnock,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Cessnock,2018,0,"13,061",0,"42,083","55,143",0.0,6.6,0.0,21.4,28.1
Cessnock,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Cessnock,2020,0,"13,828",0,"43,260","57,087",0.0,7.0,0.0,22.0,29.0
Cessnock,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Cessnock,2022,0,"13,823",0,"44,156","57,979",0.0,7.0,0.0,22.5,29.5
Cessnock,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Clarence Valley,2016,0,"94,072","26,692","105,920","226,684",0.0,9.0,2.6,10.2,21.7
Clarence Valley,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Clarence Valley,2018,0,"94,575","26,960","105,897","227,432",0.0,9.1,2.6,10.2,21.8
Clarence Valley,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Clarence Valley,2020,0,"94,719","26,969","112,865","234,553",0.0,9.1,2.6,10.8,22.5
Clarence Valley,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Clarence Valley,2022,0,"96,852","27,421","115,705","239,977",0.0,9.3,2.6,11.1,23.0
Clarence Valley,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Cobar,2016,0,"65,589","181,084",0,"246,673",0.0,1.4,4.0,0.0,5.4
Cobar,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Cobar,2018,0,"65,450","181,098",0,"246,549",0.0,1.4,4.0,0.0,5.4
Cobar,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Cobar,2020,14,"65,503","181,097",0,"246,614",0.0,1.4,4.0,0.0,5.4
Cobar,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Cobar,2022,14,"126,876","182,927","1,921","311,737",0.0,2.8,4.0,0.0,6.8
Cobar,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Coffs Harbour,2016,0,"12,383","1,554","1,630","15,566",0.0,10.6,1.3,1.4,13.3
Coffs Harbour,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Coffs Harbour,2018,0,"12,390","1,548","1,631","15,569",0.0,10.6,1.3,1.4,13.3
Coffs Harbour,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Coffs Harbour,2020,0,"12,390","1,548","2,340","16,277",0.0,10.6,1.3,2.0,13.9
Coffs Harbour,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Coffs Harbour,2022,0,"12,392","1,548","2,424","16,364",0.0,10.6,1.3,2.1,13.9
Coffs Harbour,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Coolamon,2016,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Coolamon,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Coolamon,2018,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Coolamon,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Coolamon,2020,0,0,0,627,627,0.0,0.0,0.0,0.3,0.3
Coolamon,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Coolamon,2022,0,0,0,627,627,0.0,0.0,0.0,0.3,0.3
Coolamon,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Coonamble,2016,0,"26,431","4,892",15,"31,338",0.0,2.7,0.5,0.0,3.2
Coonamble,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Coonamble,2018,0,"26,431","4,892",15,"31,338",0.0,2.7,0.5,0.0,3.2
Coonamble,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Coonamble,2020,0,"26,431","4,893","5,219","36,543",0.0,2.7,0.5,0.5,3.7
Coonamble,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Coonamble,2022,0,"26,436","4,900","5,770","37,106",0.0,2.7,0.5,0.6,3.7
Coonamble,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Cootamundra-Gundagai Regional,2016,0,"1,037","2,249","1,630","4,916",0.0,0.3,0.6,0.4,1.2
Cootamundra-Gundagai Regional,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Cootamundra-Gundagai Regional,2018,0,"1,037","2,249","1,630","4,916",0.0,0.3,0.6,0.4,1.2
Cootamundra-Gundagai Regional,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Cootamundra-Gundagai Regional,2020,0,"1,037","2,249","4,151","7,437",0.0,0.3,0.6,1.0,1.9
Cootamundra-Gundagai Regional,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Cootamundra-Gundagai Regional,2022,0,"1,037","2,250","4,341","7,628",0.0,0.3,0.6,1.1,1.9
Cootamundra-Gundagai Regional,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Cowra,2016,0,"6,186",438,0,"6,623",0.0,2.2,0.2,0.0,2.4
Cowra,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Cowra,2018,0,"6,186",438,0,"6,623",0.0,2.2,0.2,0.0,2.4
Cowra,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Cowra,2020,0,"6,186",438,622,"7,246",0.0,2.2,0.2,0.2,2.6
Cowra,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Cowra,2022,0,"6,185",438,622,"7,245",0.0,2.2,0.2,0.2,2.6
Cowra,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Cumberland,2016,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Cumberland,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Cumberland,2018,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Cumberland,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Cumberland,2020,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Cumberland,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Cumberland,2022,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Cumberland,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Dubbo Regional,2016,0,"48,459","2,307",181,"50,947",0.0,6.4,0.3,0.0,6.8
Dubbo Regional,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Dubbo Regional,2018,0,"48,453","2,295",181,"50,929",0.0,6.4,0.3,0.0,6.8
Dubbo Regional,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Dubbo Regional,2020,0,"48,453","2,295","1,737","52,485",0.0,6.4,0.3,0.2,7.0
Dubbo Regional,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Dubbo Regional,2022,0,"48,451","2,295","5,117","55,863",0.0,6.4,0.3,0.7,7.4
Dubbo Regional,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Dungog,2016,0,"4,557","1,296","34,094","39,947",0.0,2.0,0.6,15.2,17.8
Dungog,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Dungog,2018,0,"4,707","1,296","34,100","40,103",0.0,2.1,0.6,15.2,17.8
Dungog,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Dungog,2020,0,"4,707","1,296","34,513","40,516",0.0,2.1,0.6,15.3,18.0
Dungog,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Dungog,2022,0,"4,707","1,296","36,369","42,373",0.0,2.1,0.6,16.2,18.8
Dungog,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Edward River,2016,0,198,"2,738",423,"3,359",0.0,0.0,0.3,0.0,0.4
Edward River,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Edward River,2018,0,198,"2,738",423,"3,359",0.0,0.0,0.3,0.0,0.4
Edward River,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Edward River,2020,0,198,"2,738","4,282","7,218",0.0,0.0,0.3,0.5,0.8
Edward River,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Edward River,2022,0,198,"2,738","4,281","7,217",0.0,0.0,0.3,0.5,0.8
Edward River,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Eurobodalla,2016,0,"31,471",297,"108,889","140,657",0.0,9.2,0.1,31.8,41.0
Eurobodalla,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Eurobodalla,2018,0,"31,514",295,"108,889","140,698",0.0,9.2,0.1,31.8,41.0
Eurobodalla,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Eurobodalla,2020,0,"31,514",295,"109,493","141,302",0.0,9.2,0.1,31.9,41.2
Eurobodalla,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Eurobodalla,2022,0,"31,518",295,"109,754","141,567",0.0,9.2,0.1,32.0,41.3
Eurobodalla,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Fairfield,2016,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Fairfield,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Fairfield,2018,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Fairfield,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Fairfield,2020,0,0,0,17,17,0.0,0.0,0.0,0.2,0.2
