Label,Year,Indigenous protected land area (ha),National parks (ha),Nature reserves (ha),All other protected land areas (ha),Total protected land area (ha),Indigenous protected land area (%),National parks (%),Nature reserves (%),All other protected land areas (%),Total protected land area (%)
Central Highlands (Tas.),2016,0,"156,580","1,470","139,141","297,191",0.0,19.6,0.2,17.4,37.2
Central Highlands (Tas.),2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Central Highlands (Tas.),2018,0,"156,580","1,470","139,661","297,712",0.0,19.6,0.2,17.5,37.3
Central Highlands (Tas.),2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Central Highlands (Tas.),2020,0,"156,580","1,470","139,751","297,802",0.0,19.6,0.2,17.5,37.3
Central Highlands (Tas.),2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Central Highlands (Tas.),2022,0,"156,580","1,470","139,767","297,818",0.0,19.6,0.2,17.5,37.3
Central Highlands (Tas.),2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Circular Head,2016,528,"10,742",137,"172,758","184,165",0.1,2.2,0.0,35.3,37.6
Circular Head,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Circular Head,2018,528,"10,742",137,"173,141","184,548",0.1,2.2,0.0,35.4,37.7
Circular Head,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Circular Head,2020,528,"10,742",137,"173,141","184,548",0.1,2.2,0.0,35.4,37.7
Circular Head,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Circular Head,2022,525,"10,741",137,"173,140","184,543",0.1,2.2,0.0,35.4,37.7
Circular Head,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Clarence,2016,79,88,372,"3,174","3,713",0.2,0.2,1.0,8.4,9.8
Clarence,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Clarence,2018,79,88,369,"3,174","3,709",0.2,0.2,1.0,8.4,9.8
Clarence,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Clarence,2020,79,88,369,"3,162","3,698",0.2,0.2,1.0,8.4,9.8
Clarence,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Clarence,2022,79,88,368,"3,156","3,691",0.2,0.2,1.0,8.4,9.8
Clarence,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Derwent Valley,2016,0,"251,152",0,"68,739","319,891",0.0,61.1,0.0,16.7,77.9
Derwent Valley,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Derwent Valley,2018,0,"251,152",0,"68,744","319,896",0.0,61.1,0.0,16.7,77.9
Derwent Valley,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Derwent Valley,2020,0,"251,152",0,"68,787","319,939",0.0,61.1,0.0,16.7,77.9
Derwent Valley,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Derwent Valley,2022,0,"251,152",0,"68,779","319,931",0.0,61.1,0.0,16.7,77.9
Derwent Valley,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Devonport,2016,0,0,0,286,286,0.0,0.0,0.0,2.6,2.6
Devonport,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Devonport,2018,0,0,0,286,286,0.0,0.0,0.0,2.6,2.6
Devonport,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Devonport,2020,0,0,0,286,286,0.0,0.0,0.0,2.6,2.6
Devonport,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Devonport,2022,0,0,0,286,286,0.0,0.0,0.0,2.6,2.6
Devonport,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Dorset,2016,0,"5,003",28,"55,270","60,301",0.0,1.5,0.0,17.1,18.7
Dorset,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Dorset,2018,0,"5,003",28,"55,339","60,370",0.0,1.5,0.0,17.1,18.7
Dorset,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Dorset,2020,0,"5,003",28,"54,493","59,525",0.0,1.5,0.0,16.9,18.4
Dorset,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Dorset,2022,0,"5,003",28,"54,501","59,532",0.0,1.5,0.0,16.9,18.4
Dorset,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Flinders (Tas.),2016,"10,515","7,637","11,301","47,708","77,161",5.3,3.8,5.7,23.9,38.6
Flinders (Tas.),2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Flinders (Tas.),2018,"10,515","7,637","11,303","47,721","77,176",5.3,3.8,5.7,23.9,38.7
Flinders (Tas.),2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Flinders (Tas.),2020,"10,515","7,637","11,303","47,700","77,156",5.3,3.8,5.7,23.9,38.6
Flinders (Tas.),2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Flinders (Tas.),2022,"10,507","7,638","11,298","47,645","77,088",5.3,3.8,5.7,23.9,38.6
Flinders (Tas.),2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
George Town,2016,0,0,0,"7,803","7,803",0.0,0.0,0.0,11.9,11.9
George Town,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
George Town,2018,0,0,0,"7,804","7,804",0.0,0.0,0.0,11.9,11.9
George Town,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
George Town,2020,0,0,0,"7,481","7,481",0.0,0.0,0.0,11.4,11.4
George Town,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
George Town,2022,0,0,0,"7,484","7,484",0.0,0.0,0.0,11.5,11.5
George Town,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Glamorgan-Spring Bay,2016,0,"29,522","4,433","41,070","75,025",0.0,11.4,1.7,15.8,28.9
Glamorgan-Spring Bay,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Glamorgan-Spring Bay,2018,0,"29,523","4,433","42,051","76,007",0.0,11.4,1.7,16.2,29.3
Glamorgan-Spring Bay,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Glamorgan-Spring Bay,2020,0,"29,523","4,433","41,642","75,597",0.0,11.4,1.7,16.1,29.2
Glamorgan-Spring Bay,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Glamorgan-Spring Bay,2022,0,"29,522","4,433","41,749","75,704",0.0,11.4,1.7,16.1,29.2
Glamorgan-Spring Bay,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Glenorchy,2016,0,"4,107",0,39,"4,146",0.0,33.9,0.0,0.3,34.2
Glenorchy,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Glenorchy,2018,0,"4,107",0,37,"4,144",0.0,33.9,0.0,0.3,34.2
Glenorchy,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Glenorchy,2020,0,"4,107",0,34,"4,141",0.0,33.9,0.0,0.3,34.2
Glenorchy,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Glenorchy,2022,0,"4,107",0,34,"4,141",0.0,33.9,0.0,0.3,34.2
Glenorchy,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Hobart,2016,0,"1,722",0,100,"1,823",0.0,22.1,0.0,1.3,23.4
Hobart,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Hobart,2018,0,"1,722",0,135,"1,857",0.0,22.1,0.0,1.7,23.8
Hobart,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Hobart,2020,0,"1,722",0,135,"1,857",0.0,22.1,0.0,1.7,23.8
Hobart,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Hobart,2022,0,"1,722",0,134,"1,857",0.0,22.1,0.0,1.7,23.8
Hobart,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Huon Valley,2016,0,"367,567",18,"33,629","401,215",0.0,66.7,0.0,6.1,72.9
Huon Valley,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Huon Valley,2018,0,"367,567",18,"33,813","401,398",0.0,66.7,0.0,6.1,72.9
Huon Valley,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Huon Valley,2020,0,"367,567",18,"33,813","401,398",0.0,66.7,0.0,6.1,72.9
Huon Valley,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Huon Valley,2022,0,"367,567",18,"33,813","401,398",0.0,66.7,0.0,6.1,72.9
Huon Valley,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Kentish,2016,0,"5,536",0,"23,462","28,998",0.0,4.8,0.0,20.3,25.1
Kentish,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Kentish,2018,0,"5,536",0,"23,462","28,998",0.0,4.8,0.0,20.3,25.1
Kentish,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Kentish,2020,0,"5,536",0,"23,462","28,998",0.0,4.8,0.0,20.3,25.1
Kentish,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Kentish,2022,0,"5,536",0,"23,796","29,332",0.0,4.8,0.0,20.6,25.4
Kentish,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
King Island,2016,0,"7,747",175,"8,954","16,876",0.0,7.1,0.2,8.2,15.4
King Island,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
King Island,2018,0,"7,747",175,"9,354","17,276",0.0,7.1,0.2,8.5,15.8
King Island,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
King Island,2020,0,"7,747",175,"6,908","14,830",0.0,7.1,0.2,6.3,13.5
King Island,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
King Island,2022,0,"7,747",175,"6,910","14,831",0.0,7.1,0.2,6.3,13.5
King Island,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Kingborough,2016,14,"8,276",168,"9,673","18,131",0.0,11.5,0.2,13.4,25.2
Kingborough,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Kingborough,2018,14,"8,276",168,"9,678","18,135",0.0,11.5,0.2,13.4,25.2
Kingborough,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Kingborough,2020,14,"8,276",168,"9,611","18,069",0.0,11.5,0.2,13.3,25.1
Kingborough,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Kingborough,2022,14,"8,266",168,"9,688","18,136",0.0,11.5,0.2,13.5,25.2
Kingborough,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Latrobe (Tas.),2016,0,"3,039",49,"3,744","6,833",0.0,5.1,0.1,6.2,11.4
Latrobe (Tas.),2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Latrobe (Tas.),2018,0,"3,038",49,"3,744","6,832",0.0,5.1,0.1,6.2,11.4
Latrobe (Tas.),2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Latrobe (Tas.),2020,0,"3,038",49,"3,744","6,832",0.0,5.1,0.1,6.2,11.4
Latrobe (Tas.),2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Latrobe (Tas.),2022,0,"3,038",49,"3,798","6,886",0.0,5.1,0.1,6.3,11.5
Latrobe (Tas.),2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Launceston,2016,0,0,108,"8,112","8,220",0.0,0.0,0.1,5.7,5.8
